sku,produto,quantidade_vendida,primeiro_nome,sobrenome,data,loja,preco_unitario,faturamento,dia,mes_num,mes,ano,semana,nome_completo
HL4379,Televisão,2,Carolina,Alfradique,2018-02-25,Belo Horizonte,2500.0,5000.0,25,2,Fev,2018,Dom,Carolina Alfradique
HL4379,Televisão,1,Danilo,Rubim,2018-02-20,Belo Horizonte,2500.0,2500.0,20,2,Fev,2018,Ter,Danilo Rubim
HL1918,iPhone,5,Bernard,Pedrosa,2018-07-07,Belo Horizonte,5300.0,26500.0,7,7,Jul,2018,Sáb,Bernard Pedrosa
HL1918,iPhone,5,Lucas,Lemos,2018-12-26,Belo Horizonte,5300.0,26500.0,26,12,Dez,2018,Qua,Lucas Lemos
HL8851,Notebook,5,Bernardo,Botelho,2018-06-08,Belo Horizonte,3500.0,17500.0,8,6,Jun,2018,Sex,Bernardo Botelho
HL4379,Televisão,2,Raíza,Lopes,2018-04-24,Belo Horizonte,2500.0,5000.0,24,4,Abr,2018,Ter,Raíza Lopes
HL8851,Notebook,1,Paola,Abreu,2018-08-02,Belo Horizonte,3500.0,3500.0,2,8,Ago,2018,Qui,Paola Abreu
HL8851,Notebook,4,Marina,Delgado,2018-05-10,Belo Horizonte,3500.0,14000.0,10,5,Mai,2018,Qui,Marina Delgado
HL8851,Notebook,5,Giovana,Vilela,2018-07-10,Belo Horizonte,3500.0,17500.0,10,7,Jul,2018,Ter,Giovana Vilela
HL1918,iPhone,5,Gabriel,Brito,2018-07-15,Belo Horizonte,5300.0,26500.0,15,7,Jul,2018,Dom,Gabriel Brito
HL7348,SmartWatch,1,Amanda,Delgado,2018-10-22,Belo Horizonte,1400.0,1400.0,22,10,Out,2018,Seg,Amanda Delgado
HL1918,iPhone,5,Isabella,Scalabrin,2018-06-13,Belo Horizonte,5300.0,26500.0,13,6,Jun,2018,Qua,Isabella Scalabrin
HL1918,iPhone,5,Guilherme,Monteiro,2018-07-07,Belo Horizonte,5300.0,26500.0,7,7,Jul,2018,Sáb,Guilherme Monteiro
HL4379,Televisão,3,Isabel,Lacerda,2018-01-10,Belo Horizonte,2500.0,7500.0,10,1,Jan,2018,Qua,Isabel Lacerda
HL2714,Tablet,4,Aline,Morais,2018-01-23,Belo Horizonte,1600.0,6400.0,23,1,Jan,2018,Ter,Aline Morais
HL2714,Tablet,2,Isabela,Rodrigues,2018-07-24,Belo Horizonte,1600.0,3200.0,24,7,Jul,2018,Ter,Isabela Rodrigues
HL4379,Televisão,3,Aline,Andrade,2018-10-07,Belo Horizonte,2500.0,7500.0,7,10,Out,2018,Dom,Aline Andrade
HL1918,iPhone,2,Raul,Junqueira,2018-09-24,Belo Horizonte,5300.0,10600.0,24,9,Set,2018,Seg,Raul Junqueira
HL2714,Tablet,1,Lucas,Lemos,2018-11-15,Belo Horizonte,1600.0,1600.0,15,11,Nov,2018,Qui,Lucas Lemos
HL2714,Tablet,3,Leandro,Melo,2018-02-28,Belo Horizonte,1600.0,4800.0,28,2,Fev,2018,Qua,Leandro Melo
HL1148,Câmera,2,Rogério,Gentile,2018-10-13,Belo Horizonte,2100.0,4200.0,13,10,Out,2018,Sáb,Rogério Gentile
HL7348,SmartWatch,3,Julia,Aliani,2018-11-28,Belo Horizonte,1400.0,4200.0,28,11,Nov,2018,Qua,Julia Aliani
HL1148,Câmera,4,Victor,Gomes,2018-05-08,Belo Horizonte,2100.0,8400.0,8,5,Mai,2018,Ter,Victor Gomes
HL2714,Tablet,5,Luã,Sá,2018-04-16,Belo Horizonte,1600.0,8000.0,16,4,Abr,2018,Seg,Luã Sá
HL1148,Câmera,3,Pedro,Santos,2018-12-24,Belo Horizonte,2100.0,6300.0,24,12,Dez,2018,Seg,Pedro Santos
HL9962,Android,2,Thiago,Nóbrega,2018-11-11,Belo Horizonte,3400.0,6800.0,11,11,Nov,2018,Dom,Thiago Nóbrega
HL4379,Televisão,4,Rafael,Portela,2018-02-27,Belo Horizonte,2500.0,10000.0,27,2,Fev,2018,Ter,Rafael Portela
HL9962,Android,4,Ana,Silva,2018-10-13,Belo Horizonte,3400.0,13600.0,13,10,Out,2018,Sáb,Ana Silva
HL8851,Notebook,4,João,Costa,2018-09-18,Belo Horizonte,3500.0,14000.0,18,9,Set,2018,Ter,João Costa
HL1918,iPhone,4,Thomáz,Vannier,2018-03-05,Belo Horizonte,5300.0,21200.0,5,3,Mar,2018,Seg,Thomáz Vannier
HL9962,Android,2,Paula,Carneiro,2018-05-26,Belo Horizonte,3400.0,6800.0,26,5,Mai,2018,Sáb,Paula Carneiro
HL1918,iPhone,5,Ana,Carvalho,2018-06-19,Belo Horizonte,5300.0,26500.0,19,6,Jun,2018,Ter,Ana Carvalho
HL1918,iPhone,4,Felipe,Jorge,2018-08-02,Belo Horizonte,5300.0,21200.0,2,8,Ago,2018,Qui,Felipe Jorge
HL4379,Televisão,2,Daniel,Ortiz,2018-08-24,Belo Horizonte,2500.0,5000.0,24,8,Ago,2018,Sex,Daniel Ortiz
HL9962,Android,5,Mônica,Rotolo,2018-02-02,Belo Horizonte,3400.0,17000.0,2,2,Fev,2018,Sex,Mônica Rotolo
HL1918,iPhone,5,Raphael,Rezende,2018-02-09,Belo Horizonte,5300.0,26500.0,9,2,Fev,2018,Sex,Raphael Rezende
HL7348,SmartWatch,3,Anderson,Cavalcanti,2018-06-14,Belo Horizonte,1400.0,4200.0,14,6,Jun,2018,Qui,Anderson Cavalcanti
HL1918,iPhone,2,Gustavo,Erthal,2018-08-09,Belo Horizonte,5300.0,10600.0,9,8,Ago,2018,Qui,Gustavo Erthal
HL9962,Android,4,Ana,Fioretti,2018-10-23,Belo Horizonte,3400.0,13600.0,23,10,Out,2018,Ter,Ana Fioretti
HL2714,Tablet,3,Amanda,Procaci,2018-03-12,Belo Horizonte,1600.0,4800.0,12,3,Mar,2018,Seg,Amanda Procaci
HL1918,iPhone,3,Carolina,Costa,2018-09-17,Belo Horizonte,5300.0,15900.0,17,9,Set,2018,Seg,Carolina Costa
HL4379,Televisão,4,Carolina,Siqueira,2018-08-01,Belo Horizonte,2500.0,10000.0,1,8,Ago,2018,Qua,Carolina Siqueira
HL1918,iPhone,2,Igor,Azevedo,2018-06-08,Belo Horizonte,5300.0,10600.0,8,6,Jun,2018,Sex,Igor Azevedo
